Item Purchased,Size,Color,Category,Season,Review Rating,Purchase Amount (USD),Discount Applied,Shipping Type,Payment Method,Customer ID
Sandals,M,Blue,Footwear,Spring,4.6,39,No,Standard,PayPal,2782
Gloves,M,Black,Accessories,Fall,3.9,37,Yes,Next Day Air,Venmo,1660
Hat,M,Maroon,Accessories,Winter,4.3,39,No,Next Day Air,Venmo,2143
Phone,XL,Green,Clothing,Summer,,,Yes,Express,Credit Card,4187
Shoes,XL,Pink,Footwear,Fall,3,36,Yes,2-Day Shipping,Credit Card,1053
Hoodie,S,Peach,Clothing,Fall,4.2,82,No,Free Shipping,Bank Transfer,2720
Phone,M,Blue,Accessories,Summer,4,,No,Standard,Debit Card,4735
Backpack,M,Peach,Accessories,Summer,3.2,49,No,Free Shipping,Venmo,2589
Watch,,Black,Electronics,Winter,5,808.22,Yes,Express,Cash,4858
Watch,L,Blue,Accessories,Summer,2,202.12,No,Standard,Cash,4536
Bag,M,White,Clothing,Summer,5,12.41,Yes,Standard,Credit Card,5076
Shirt,M,Orange,Clothing,Fall,3.4,70,Yes,2-Day Shipping,PayPal,590
Laptop,,Blue,Electronics,Spring,1,,Yes,Standard,Debit Card,4429
Sweater,M,Gray,Clothing,Winter,4.8,89,Yes,Next Day Air,Credit Card,128
Blouse,S,Beige,Clothing,Spring,3.9,77,No,2-Day Shipping,Debit Card,1870
Shirt,M,Gray,Clothing,Summer,2.6,32,No,Store Pickup,PayPal,1948
Coat,M,Silver,Outerwear,Winter,4.1,36,Yes,Standard,Bank Transfer,932
Jacket,M,Brown,Outerwear,Fall,3.5,73,No,Express,Bank Transfer,3299
Shorts,M,Turquoise,Clothing,Fall,4.7,73,No,Next Day Air,Debit Card,2819
Sweater,S,Olive,Clothing,Winter,3.6,45,No,Store Pickup,Credit Card,2715
Gloves,M,Silver,Accessories,Summer,2.9,91,Yes,Express,Bank Transfer,208
Blouse,XL,Gray,Clothing,Summer,4.5,31,No,Express,Credit Card,2234
Boots,S,Magenta,Footwear,Summer,4.9,70,No,2-Day Shipping,Venmo,3055
Coat,S,Olive,Outerwear,Spring,2.7,100,Yes,Store Pickup,PayPal,1457
Shorts,S,Pink,Clothing,Summer,3.7,84,No,Express,Cash,2467
Scarf,M,Magenta,Accessories,Summer,4.6,37,No,Standard,PayPal,2833
Sandals,M,Cyan,Footwear,Winter,3.4,82,No,Store Pickup,PayPal,2006
Jewelry,S,Pink,Accessories,Fall,4.7,30,Yes,Store Pickup,Debit Card,1597
Shorts,L,Turquoise,Clothing,Winter,2.6,96,No,Store Pickup,Venmo,1803
Sandals,M,Beige,Footwear,Spring,3.7,94,No,Express,Bank Transfer,2012
Handbag,L,Turquoise,Accessories,Winter,4,68,No,Next Day Air,Venmo,2158
Headphones,M,White,Accessories,Autumn,5,525.18,Yes,Express,PayPal,4826
Sandals,L,Orange,Footwear,Spring,3.1,44,No,2-Day Shipping,PayPal,3736
Dress,M,Silver,Clothing,Summer,3.7,32,Yes,Store Pickup,Bank Transfer,1549
Hoodie,L,Pink,Clothing,Spring,3.7,41,Yes,2-Day Shipping,Cash,87
Watch,,Green,Electronics,Spring,4,,Yes,Standard,Credit Card,4547
Headphones,L,Green,Clothing,Summer,3,492.76,No,Express,Credit Card,4580
Hoodie,S,Purple,Clothing,Summer,4.2,42,Yes,Express,Venmo,646
Shorts,S,Peach,Clothing,Spring,3.4,28,No,Express,PayPal,2527
Coat,M,Magenta,Outerwear,Fall,3.8,57,No,2-Day Shipping,Debit Card,2714
Bag,L,Green,Clothing,Winter,,583.34,No,Express,PayPal,4403
Jeans,L,Violet,Clothing,Summer,3.1,24,No,Next Day Air,PayPal,2080
Jewelry,M,Gray,Accessories,Fall,4.4,34,No,Standard,Credit Card,2107
Gloves,M,Charcoal,Accessories,Spring,2.5,92,No,Express,Cash,3796
Coat,M,Peach,Outerwear,Winter,3.2,56,Yes,Free Shipping,Debit Card,1675
Shoes,XL,Red,Footwear,Fall,2.6,26,No,Free Shipping,PayPal,3071
Phone,,Blue,Electronics,Spring,1,10.12,Yes,Standard,Credit Card,4181
Jeans,M,Violet,Clothing,Spring,4.2,35,No,Express,PayPal,3334
Belt,XL,Brown,Accessories,Spring,4.5,30,Yes,Standard,Credit Card,1082
Jeans,L,Magenta,Clothing,Winter,4.9,77,Yes,Standard,Credit Card,262
Pants,M,Gold,Clothing,Fall,3.6,36,No,Express,Bank Transfer,2528
T-shirt,M,Charcoal,Clothing,Fall,3.8,41,No,Store Pickup,Debit Card,2763
Jewelry,M,Lavender,Accessories,Summer,3.9,41,Yes,Standard,PayPal,1131
Shirt,M,Red,Accessories,Autumn,,875.62,No,Express,Credit Card,4376
Hat,M,Peach,Accessories,Spring,4,77,No,2-Day Shipping,Debit Card,2380
Hoodie,XL,Pink,Clothing,Winter,3.1,51,Yes,Express,Credit Card,1242
Shoes,L,Black,Clothing,Spring,5,,No,Express,PayPal,4702
Shirt,M,Peach,Clothing,Summer,4.9,36,No,Store Pickup,Bank Transfer,3091
Socks,M,Pink,Clothing,Winter,4.9,37,No,Express,Credit Card,1957
Belt,XL,Gold,Accessories,Summer,4.3,81,Yes,Free Shipping,Cash,921
Shirt,M,Magenta,Clothing,Spring,4.2,70,No,2-Day Shipping,Cash,2924
Bag,,Black,Electronics,Spring,5,,No,Express,PayPal,4521
Pants,M,Yellow,Clothing,Summer,4.5,20,No,Store Pickup,Venmo,3131
Sneakers,S,Teal,Footwear,Spring,3.8,36,No,Express,Venmo,2231
Hat,L,Black,Accessories,Winter,3.8,30,Yes,Standard,PayPal,460
Socks,L,Gray,Clothing,Fall,4.9,90,No,Free Shipping,PayPal,2246
Backpack,XL,Lavender,Accessories,Winter,4,85,Yes,Express,Credit Card,276
Blouse,L,Charcoal,Clothing,Winter,4.8,26,Yes,Store Pickup,Venmo,866
Sunglasses,M,Charcoal,Accessories,Winter,4.5,95,Yes,Next Day Air,Debit Card,86
Socks,L,Red,Clothing,Summer,4.8,63,No,Store Pickup,Cash,3094
Shorts,XL,Peach,Clothing,Summer,4.4,23,No,Store Pickup,Venmo,2593
Skirt,L,Teal,Clothing,Spring,4.8,69,No,Express,Debit Card,3757
Socks,M,Lavender,Clothing,Winter,4.2,73,No,Next Day Air,Bank Transfer,3431
Jeans,S,Maroon,Clothing,Winter,4.4,66,Yes,Free Shipping,Cash,971
Skirt,S,Cyan,Clothing,Spring,3.6,98,No,Free Shipping,Debit Card,2531
Shoes,S,Maroon,Footwear,Spring,4.4,23,No,Standard,Cash,3462
Headphones,,Black,Electronics,Winter,,1340.78,No,Express,Cash,4779
Jeans,S,Pink,Clothing,Winter,3,80,Yes,Free Shipping,PayPal,1591
Sneakers,M,Blue,Footwear,Spring,2.9,40,No,Free Shipping,Bank Transfer,2066
Gloves,M,Magenta,Accessories,Winter,4.6,72,No,Express,Venmo,2455
Hat,L,Maroon,Accessories,Fall,3,89,Yes,Express,Credit Card,1188
Backpack,M,Green,Accessories,Fall,4.7,62,No,Next Day Air,Bank Transfer,3503
Sneakers,L,Gold,Footwear,Winter,3,61,Yes,Standard,Credit Card,973
Sandals,M,Brown,Footwear,Summer,3.1,42,No,Express,Bank Transfer,1763
Hat,L,Gray,Accessories,Fall,3.3,98,Yes,Free Shipping,Bank Transfer,901
Shirt,,Blue,Electronics,Spring,,,No,Express,Cash,4206
Dress,M,Red,Clothing,Winter,,83,Yes,Free Shipping,PayPal,1177
Jewelry,M,Peach,Accessories,Winter,4.8,82,No,Store Pickup,Credit Card,2423
Bag,S,Green,Accessories,Spring,2,708.58,Yes,Standard,Debit Card,4265
Sneakers,S,Pink,Footwear,Winter,3.2,83,Yes,2-Day Shipping,PayPal,372
Jeans,L,Pink,Clothing,Winter,3.8,60,No,Standard,Cash,3399
Pants,M,Charcoal,Clothing,Spring,2.8,64,Yes,Store Pickup,Credit Card,1372
Hoodie,M,Pink,Clothing,Spring,3.1,53,Yes,Express,Bank Transfer,189
Pants,S,Purple,Clothing,Summer,3.5,20,No,Store Pickup,PayPal,3084
Pants,L,Orange,Clothing,Spring,4.2,93,Yes,Store Pickup,PayPal,650
Watch,,Red,Electronics,Spring,,,Yes,Standard,Cash,4294
Hoodie,XL,Gold,Clothing,Fall,3.5,44,No,Express,PayPal,1888
Shoes,,White,Electronics,Autumn,,,Yes,Express,Debit Card,4393
Sneakers,L,Pink,Footwear,Summer,3,89,Yes,Express,Cash,1146
Belt,M,Green,Accessories,Summer,4,68,No,Free Shipping,Venmo,3236
Shoes,M,White,Accessories,Spring,,,Yes,Express,Credit Card,4982
Sandals,XL,Gray,Footwear,Winter,4.8,64,No,2-Day Shipping,PayPal,2672
Shorts,XL,Green,Clothing,Winter,3.6,31,No,2-Day Shipping,Cash,3344
Dress,M,Olive,Clothing,Summer,4.5,63,No,Standard,Debit Card,2824
Bag,M,Red,Accessories,Summer,,713.42,No,Standard,PayPal,4216
Shoes,M,Black,Footwear,Spring,3.9,71,No,Store Pickup,Venmo,2371
Headphones,,Blue,,Winter,,1232,No,Express,Debit Card,4112
Shoes,,White,Electronics,Summer,5,,No,Express,PayPal,4490
Gloves,M,Orange,Accessories,Winter,3.2,32,Yes,Free Shipping,Credit Card,308
T-shirt,L,Orange,Clothing,Fall,3.1,64,No,2-Day Shipping,Bank Transfer,3152
Boots,XL,Teal,Footwear,Spring,4.6,79,Yes,Next Day Air,Cash,543
Shoes,L,Charcoal,Footwear,Winter,3.8,67,No,Standard,Debit Card,2920
Shorts,M,Indigo,Clothing,Spring,4.9,80,No,Next Day Air,Debit Card,3663
Jacket,L,Olive,Outerwear,Fall,3.1,26,Yes,Free Shipping,PayPal,859
Dress,S,Gold,Clothing,Spring,3,100,Yes,Standard,Bank Transfer,1422
T-shirt,S,Purple,Clothing,Fall,4.1,36,Yes,Next Day Air,Cash,1085
Sneakers,M,Magenta,Footwear,Winter,4,84,Yes,Next Day Air,Debit Card,1121
Pants,M,Charcoal,Clothing,Winter,2.8,44,No,2-Day Shipping,Credit Card,2984
Shorts,L,Yellow,Clothing,Winter,3.6,76,No,Express,Bank Transfer,2657
Blouse,L,Green,Clothing,Summer,3,45,No,Store Pickup,Debit Card,2288
Boots,XL,Pink,Footwear,Spring,4.9,54,Yes,Standard,Venmo,647
Coat,M,Gray,Outerwear,Spring,4.3,29,Yes,Express,Credit Card,839
Socks,L,Lavender,Clothing,Fall,2.9,82,No,Next Day Air,PayPal,2180
Jacket,M,Turquoise,Outerwear,Spring,3.1,20,Yes,Free Shipping,Bank Transfer,868
Sweater,M,Orange,Clothing,Summer,4,35,Yes,Next Day Air,Bank Transfer,1653
Sunglasses,S,Gray,Accessories,Spring,4.1,36,Yes,Next Day Air,Debit Card,17
Sunglasses,S,Silver,Accessories,Summer,4.1,96,No,Next Day Air,Bank Transfer,2493
Dress,XL,Violet,Clothing,Fall,3.3,26,Yes,Next Day Air,Bank Transfer,292
Watch,XL,Black,Clothing,Autumn,4,,No,Express,PayPal,4008
Socks,M,Violet,Clothing,Spring,3.3,94,No,Standard,Credit Card,3315
Shoes,,Green,Electronics,Summer,4,,Yes,Express,PayPal,4379
Shoes,,Black,Electronics,Spring,,575.16,No,Standard,Debit Card,4098
Sandals,M,Purple,Footwear,Spring,3.5,52,No,Store Pickup,Debit Card,3374
Sunglasses,S,Turquoise,Accessories,Spring,4,69,No,Free Shipping,Credit Card,1697
Phone,L,Black,Clothing,Spring,,,Yes,Express,Credit Card,4831
Boots,M,Indigo,Footwear,Summer,3.7,88,No,2-Day Shipping,Venmo,2198
Dress,L,Pink,Clothing,Summer,3,87,Yes,Standard,Venmo,704
Boots,S,Blue,Footwear,Fall,3.3,44,No,Express,Bank Transfer,2771
Dress,S,Teal,Clothing,Winter,3.1,64,Yes,Next Day Air,Cash,1629
Sandals,XL,Beige,Footwear,Summer,4.5,20,No,2-Day Shipping,Bank Transfer,2210
Hat,M,Purple,Accessories,Fall,4,90,No,Free Shipping,Debit Card,2825
Sweater,L,Olive,Clothing,Spring,4.3,53,No,Store Pickup,Bank Transfer,3748
Hat,S,Brown,Accessories,Fall,3.5,33,Yes,Store Pickup,Debit Card,980
Shoes,XL,Red,Clothing,Spring,,,No,Standard,Credit Card,4733
Shorts,L,Teal,Clothing,Summer,3.5,96,Yes,Free Shipping,Bank Transfer,1182
Jewelry,S,Olive,Accessories,Fall,3,76,Yes,Free Shipping,Venmo,355
Belt,S,Gray,Accessories,Spring,3.5,22,No,Free Shipping,Cash,3068
Skirt,L,Peach,Clothing,Winter,3.6,90,Yes,2-Day Shipping,Bank Transfer,1136
Headphones,L,Black,Accessories,Winter,,1397.54,No,Express,Credit Card,5006
Shoes,L,Turquoise,Footwear,Summer,2.9,29,Yes,Express,PayPal,193
Backpack,XL,Turquoise,Accessories,Fall,3.8,87,No,Next Day Air,Cash,3161
Sunglasses,M,White,Accessories,Fall,3.1,85,No,Express,Venmo,1751
Hoodie,M,White,Clothing,Fall,3.9,73,Yes,Store Pickup,Debit Card,484
Scarf,S,Olive,Accessories,Spring,2.9,29,Yes,Standard,Venmo,1203
Jacket,S,Lavender,Outerwear,Winter,3.2,32,No,Next Day Air,PayPal,2042
Headphones,,Green,Electronics,Summer,5,1456.31,Yes,Express,Cash,4408
Shoes,,White,Electronics,Winter,,,No,Standard,Debit Card,4508
Socks,M,Green,Clothing,Summer,3.2,85,Yes,Standard,PayPal,490
Shirt,L,Cyan,Clothing,Fall,4.2,67,No,2-Day Shipping,Credit Card,2358
Bag,S,Black,Clothing,Winter,2,561.64,Yes,Express,PayPal,4986
Sneakers,XL,Olive,Footwear,Spring,4,27,No,Store Pickup,PayPal,2571
Handbag,M,Red,Accessories,Summer,4.5,53,Yes,Express,Credit Card,258
Handbag,M,Lavender,Accessories,Summer,3.5,73,No,Next Day Air,Venmo,3087
Belt,M,Red,Accessories,Winter,4.9,94,No,Store Pickup,Debit Card,1779
Hoodie,M,Green,Clothing,Spring,4.6,94,Yes,Store Pickup,Venmo,1212
Backpack,L,Blue,Accessories,Spring,4.4,46,No,2-Day Shipping,PayPal,2057
Pants,XL,Charcoal,Clothing,Summer,2.5,58,No,Free Shipping,Credit Card,3302
Sandals,L,Orange,Footwear,Spring,4,89,No,Standard,Debit Card,2089
Sandals,S,Cyan,Footwear,Fall,3.4,91,Yes,Store Pickup,Venmo,1227
Bag,,White,Electronics,Autumn,,124.66,No,Express,Cash,4771
Dress,M,Green,Clothing,Summer,3.4,99,No,Free Shipping,PayPal,2272
Dress,XL,Magenta,Clothing,Winter,3.3,29,No,2-Day Shipping,Cash,3869
Bag,M,White,Accessories,Spring,4,,No,Standard,Cash,4978
Shirt,S,Green,Clothing,Autumn,4,,Yes,Express,Credit Card,4965
Jeans,M,Olive,Clothing,Summer,3.4,36,Yes,Standard,Venmo,950
Sweater,M,Orange,Clothing,Spring,4.1,80,Yes,Free Shipping,PayPal,581
Hoodie,M,Pink,Clothing,Winter,4.9,56,No,Express,Cash,1956
Headphones,M,Green,Accessories,Spring,,,No,Express,Credit Card,4755
Sweater,M,Olive,Clothing,Spring,3.9,54,Yes,2-Day Shipping,Venmo,268
Phone,,White,Electronics,Winter,3,1074.63,No,Standard,Cash,4527
Pants,L,Indigo,Clothing,Fall,4.6,68,No,Standard,Credit Card,3533
Jewelry,XL,Violet,Accessories,Spring,4.7,30,Yes,Express,Credit Card,257
Dress,S,Charcoal,Clothing,Fall,3.5,21,Yes,2-Day Shipping,Venmo,695
Shorts,M,Olive,Clothing,Spring,3.5,62,No,Free Shipping,PayPal,1814
Shirt,L,Cyan,Clothing,Spring,4.2,49,No,2-Day Shipping,Bank Transfer,3352
Bag,M,White,Clothing,Spring,5,,Yes,Express,PayPal,4286
Shirt,M,Maroon,Clothing,Fall,4.6,60,No,Store Pickup,Venmo,3683
Shirt,,Green,Electronics,Winter,,,Yes,Express,Cash,4056
Laptop,S,Red,Accessories,Winter,,,No,Standard,Credit Card,4168
Hat,XL,Purple,Accessories,Fall,4,38,No,Next Day Air,Cash,3884
Jewelry,S,Brown,Accessories,Summer,3.9,92,No,Express,Debit Card,3887
Jewelry,M,Lavender,Accessories,Winter,3.9,93,No,Store Pickup,PayPal,1764
Belt,M,Purple,Accessories,Summer,4.9,65,Yes,Standard,PayPal,1119
Shorts,S,Yellow,Clothing,Spring,3.8,68,No,Express,Debit Card,2680
Shorts,M,Magenta,Clothing,Spring,4.6,95,No,Free Shipping,Bank Transfer,3541
Scarf,S,Olive,Accessories,Spring,4.3,77,No,2-Day Shipping,Credit Card,2332
Shirt,M,Blue,Clothing,Summer,4,,No,Standard,Debit Card,5020
Handbag,S,Olive,Accessories,Summer,2.9,45,Yes,Store Pickup,Debit Card,814
Sweater,M,Red,Clothing,Spring,4,79,No,Store Pickup,Venmo,3407
Pants,M,Green,Clothing,Summer,3.3,90,Yes,Standard,Debit Card,20
Watch,M,Red,Accessories,Summer,2,1124.29,Yes,Express,PayPal,4944
Handbag,S,Olive,Accessories,Fall,4.9,33,No,2-Day Shipping,Cash,3351
Sneakers,L,Olive,Footwear,Spring,4.9,52,Yes,Express,Venmo,1491
Shirt,XL,Turquoise,Clothing,Fall,4.7,82,No,Store Pickup,Credit Card,1772
Phone,,Green,Electronics,Summer,,150.47,No,Standard,Debit Card,5097
Coat,M,Indigo,Outerwear,Spring,3.9,27,No,Standard,Venmo,2907
Scarf,L,Green,Accessories,Winter,4.4,99,No,Express,PayPal,3626
Sandals,S,Yellow,Footwear,Summer,3.3,64,Yes,Standard,Bank Transfer,545
Watch,S,White,Clothing,Winter,,,Yes,Express,Debit Card,4549
Jacket,M,Brown,Outerwear,Summer,4,29,Yes,Standard,Credit Card,683
Coat,L,Silver,Outerwear,Fall,2.8,63,No,Standard,Cash,2063
Blouse,S,Lavender,Clothing,Spring,3.7,47,No,2-Day Shipping,Debit Card,3375
Dress,L,Cyan,Clothing,Spring,2.9,82,Yes,2-Day Shipping,Credit Card,1155
Watch,,Black,Electronics,Spring,1,,No,Standard,PayPal,4913
Shirt,XL,Red,Clothing,Spring,,,Yes,Standard,Credit Card,4340
Skirt,M,Teal,Clothing,Fall,4.2,60,No,Next Day Air,Venmo,2125
Watch,S,Black,Accessories,Winter,,251.11,No,Express,PayPal,4166
Pants,L,Brown,Clothing,Winter,4.8,41,Yes,Next Day Air,Bank Transfer,1571
Headphones,L,Green,Accessories,Autumn,3,,Yes,Express,PayPal,4283
Laptop,,White,Electronics,Winter,,996.93,No,Express,Debit Card,4274
Bag,M,Black,Accessories,Summer,,,Yes,Express,Debit Card,4640
Shoes,L,Green,Accessories,Summer,3,,No,Standard,Debit Card,4203
Scarf,M,Pink,Accessories,Spring,2.6,85,Yes,Store Pickup,PayPal,1009
Hoodie,M,Silver,Clothing,Fall,3.7,57,No,2-Day Shipping,Debit Card,3392
Backpack,M,Pink,Accessories,Summer,3.4,83,No,Express,Credit Card,3250
Watch,,Blue,Electronics,Summer,,,No,Express,Debit Card,4515
Shoes,L,Olive,Footwear,Summer,4.8,23,No,Standard,Debit Card,2682
Jeans,L,Indigo,Clothing,Winter,4.5,68,Yes,Express,Bank Transfer,1517
Sneakers,L,Pink,Footwear,Spring,4.6,46,No,Standard,Debit Card,2422
Backpack,M,Magenta,Accessories,Summer,4.7,83,No,Express,PayPal,2734
Sunglasses,M,Lavender,Accessories,Fall,4.8,51,No,Free Shipping,Venmo,3401
Backpack,M,Lavender,Accessories,Winter,3.1,63,Yes,Free Shipping,Credit Card,1530
Dress,M,Cyan,Clothing,Winter,2.8,91,No,Standard,Credit Card,2767
Phone,S,Black,Accessories,Autumn,5,1326.78,No,Express,Cash,4918
Watch,L,Blue,Accessories,Spring,,,Yes,Express,PayPal,4778
Dress,M,Violet,Clothing,Spring,4.7,51,Yes,Express,PayPal,14
Hoodie,S,Gold,Clothing,Spring,4.3,60,Yes,Store Pickup,Bank Transfer,1333
Gloves,S,Brown,Accessories,Summer,4.4,38,No,Free Shipping,Venmo,3565
T-shirt,L,Gold,Clothing,Spring,4.9,62,No,Store Pickup,Debit Card,1806
Jeans,L,Lavender,Clothing,Winter,3.8,94,No,Standard,Cash,3786
Belt,L,Silver,Accessories,Fall,2.7,56,Yes,Express,PayPal,910
Shoes,S,White,Footwear,Winter,3.8,50,No,Free Shipping,PayPal,3671
Sandals,L,Teal,Footwear,Summer,4.3,76,No,Free Shipping,Bank Transfer,3411
Scarf,M,Olive,Accessories,Winter,3.4,34,Yes,Express,PayPal,371
Coat,S,Red,Outerwear,Summer,3.2,62,Yes,Standard,PayPal,983
Scarf,M,Green,Accessories,Fall,3.1,57,No,Standard,Credit Card,3806
Blouse,M,Purple,Clothing,Summer,3.7,20,No,Express,Venmo,2580
Boots,M,Orange,Footwear,Summer,4.1,47,No,Free Shipping,Cash,2668
Phone,,Black,Electronics,Winter,5,849.62,Yes,Standard,Cash,4475
Laptop,,Green,Electronics,Summer,4,,Yes,Express,Debit Card,4022
Shirt,,White,Electronics,Autumn,3,210.55,No,Standard,PayPal,5056
Sandals,S,Pink,Footwear,Fall,4.5,81,No,Free Shipping,PayPal,3673
Boots,M,Maroon,Footwear,Summer,2.6,47,Yes,Store Pickup,Venmo,805
Jeans,XL,Yellow,Clothing,Summer,5,83,No,Express,Bank Transfer,1703
Shorts,M,Indigo,Clothing,Winter,3.6,54,Yes,Next Day Air,Venmo,126
Shirt,XL,Yellow,Clothing,Winter,4.6,64,No,Express,Debit Card,2391
Laptop,S,Blue,Accessories,Summer,1,546.56,No,Express,PayPal,4392
Shorts,M,Gray,Clothing,Winter,2.7,67,No,Store Pickup,Cash,1959
Pants,S,Silver,Clothing,Spring,4.6,52,Yes,Free Shipping,Bank Transfer,1034
Coat,L,Black,Outerwear,Spring,4,100,Yes,Standard,Bank Transfer,1480
Blouse,M,Charcoal,Clothing,Spring,3.4,82,No,Free Shipping,Cash,3829
Bag,L,Black,Accessories,Autumn,3,,No,Express,Cash,4331
Shirt,M,Gray,Clothing,Fall,4.4,80,No,Standard,Credit Card,3743
T-shirt,M,White,Clothing,Spring,2.6,96,Yes,Free Shipping,Cash,362
Sandals,L,Brown,Footwear,Spring,2.7,21,No,Store Pickup,Credit Card,3253
Shoes,S,Blue,Clothing,Spring,,133.72,Yes,Express,Cash,5064
Sunglasses,S,Blue,Accessories,Summer,4.5,77,No,2-Day Shipping,Cash,3022
Jacket,L,Brown,Outerwear,Winter,4.8,55,Yes,Express,Bank Transfer,1383
Pants,XL,Yellow,Clothing,Summer,3.8,51,Yes,Store Pickup,Bank Transfer,789
Blouse,M,Teal,Clothing,Fall,3.3,74,Yes,Store Pickup,Debit Card,679
Boots,M,Violet,Footwear,Fall,3,60,Yes,Standard,Debit Card,589
Jeans,M,Indigo,Clothing,Summer,2.8,29,Yes,Express,PayPal,412
Blouse,L,Lavender,Clothing,Summer,4.7,21,Yes,Store Pickup,Cash,1310
Blouse,M,Red,Clothing,Winter,3.9,78,Yes,2-Day Shipping,Credit Card,642
Blouse,M,Maroon,Clothing,Winter,2.7,99,No,Store Pickup,Venmo,2183
Jeans,S,Charcoal,Clothing,Winter,3.9,59,Yes,Next Day Air,PayPal,865
Jeans,M,Lavender,Clothing,Fall,2.5,93,No,Next Day Air,Cash,2584
Blouse,M,Magenta,Clothing,Fall,4.8,24,No,Standard,Credit Card,2778
Shoes,M,Turquoise,Footwear,Spring,3.6,26,Yes,Free Shipping,Cash,781
Shirt,M,Blue,Clothing,Summer,,242.07,Yes,Standard,Cash,4639
Gloves,M,Charcoal,Accessories,Summer,2.7,33,No,Standard,PayPal,2044
Headphones,,Black,Electronics,Spring,4,628.28,No,Standard,Cash,4201
Shorts,M,Maroon,Clothing,Fall,4.2,76,Yes,Express,Credit Card,831
Jacket,M,Green,,Spring,4.3,94,No,Standard,Cash,3873
Scarf,S,Gold,Accessories,Spring,3.3,81,No,2-Day Shipping,Bank Transfer,2360
Pants,XL,Lavender,Clothing,Summer,3.7,32,Yes,Free Shipping,Venmo,1217
Laptop,L,Blue,Clothing,Summer,1,1025.93,No,Express,Cash,4185
Sneakers,L,Orange,Footwear,Summer,2.6,35,Yes,Next Day Air,Credit Card,1627
Watch,,Green,Electronics,Summer,,,Yes,Express,Cash,4971
Shirt,S,White,Accessories,Autumn,,100.13,No,Express,Debit Card,4518
Jewelry,XL,Red,Accessories,Spring,3.1,88,No,Express,Cash,2071
Laptop,M,White,Accessories,Autumn,,1459.62,No,Standard,PayPal,4883
Watch,S,Green,Accessories,Winter,,,Yes,Standard,Cash,4447
Shoes,M,White,Clothing,Winter,,,Yes,Standard,Debit Card,4597
Sandals,S,Olive,Footwear,Winter,3.2,97,Yes,Store Pickup,Cash,210
Headphones,M,Black,Accessories,Summer,1,,Yes,Standard,Credit Card,4191
Shirt,XL,Red,Clothing,Summer,1,471.28,No,Express,PayPal,4660
Shirt,M,Purple,Clothing,Spring,3.2,96,No,2-Day Shipping,Debit Card,3742
Laptop,L,Red,Accessories,Summer,,884.69,No,Standard,PayPal,4744
T-shirt,M,Indigo,Clothing,Summer,3,47,No,Next Day Air,PayPal,3602
Jeans,XL,Beige,Clothing,,3,97,No,Next Day Air,Bank Transfer,2092
Coat,L,Teal,Outerwear,Spring,4.6,39,No,Store Pickup,Bank Transfer,2256
Shoes,M,Blue,Accessories,Spring,2,1387.77,Yes,Express,Cash,5030
Headphones,,White,Electronics,Spring,,191.27,Yes,Standard,PayPal,4244
Headphones,M,Black,Clothing,Winter,2,392.98,Yes,Standard,Cash,4555
Watch,S,Black,Accessories,Summer,,183.48,Yes,Standard,Debit Card,4671
Jeans,L,Black,Clothing,Fall,4.3,48,No,Express,Debit Card,1729
Sandals,L,Green,Footwear,Spring,2.6,51,No,Store Pickup,Bank Transfer,2207
Hoodie,L,Pink,Clothing,Fall,3.2,70,No,2-Day Shipping,Debit Card,1750
Shirt,,Green,Electronics,Autumn,,235.67,No,Standard,PayPal,4367
Sandals,XL,Cyan,Footwear,Fall,4.6,58,Yes,Next Day Air,Bank Transfer,1609
Handbag,XL,Beige,Accessories,Summer,4.4,45,No,Standard,Credit Card,3791
T-shirt,S,Violet,Clothing,Fall,4.9,37,Yes,Next Day Air,Cash,1345
Hoodie,L,Cyan,Clothing,Summer,4.9,41,No,Standard,PayPal,3306
Coat,XL,Cyan,Outerwear,Summer,2.6,99,No,Next Day Air,PayPal,3747
Hat,L,Violet,Accessories,Winter,4.1,23,No,Free Shipping,PayPal,2757
Skirt,M,Orange,Clothing,Fall,3.2,92,Yes,Store Pickup,Credit Card,434
Skirt,M,Black,Clothing,Fall,3.7,52,Yes,Store Pickup,Venmo,578
Hat,L,Black,Accessories,Winter,4.4,33,Yes,Express,Debit Card,1433
Jeans,M,Red,Clothing,Spring,4.6,56,No,Store Pickup,PayPal,3737
T-shirt,L,Pink,Clothing,Spring,3.9,89,No,Free Shipping,Bank Transfer,2800
Shoes,L,Red,Accessories,Winter,,,No,Standard,Cash,4961
Hat,XL,Cyan,Accessories,Winter,2.6,85,Yes,Next Day Air,Venmo,1083
Pants,M,Teal,Clothing,Summer,,40,Yes,Next Day Air,Debit Card,263
Watch,L,Green,Accessories,Summer,3,,Yes,Standard,Debit Card,4388
Jacket,M,Charcoal,Outerwear,Fall,4.7,76,No,Next Day Air,Credit Card,1844
Jewelry,S,Cyan,Accessories,Winter,4.8,93,No,Store Pickup,Venmo,3187
Sunglasses,L,Maroon,Accessories,Fall,4.4,37,No,Free Shipping,Debit Card,2586
Skirt,L,Blue,Clothing,Winter,3.2,24,Yes,Standard,Debit Card,933
Phone,M,Green,Accessories,Winter,4,227,No,Express,PayPal,4223
Sneakers,M,Olive,Footwear,Winter,3,74,Yes,Store Pickup,Credit Card,360
Skirt,L,Black,Clothing,Summer,3.9,26,No,Standard,PayPal,2015
